game_date,event_id,game,commence_time,market_type,market_key,side,team,player,stat,book_key,book_title,line,odds,is_preferred_book,source,scraped_at,available_books,all_books
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_rebounds,UNDER,,Kamilla Cardoso,REB,fanduel,FanDuel,7.5,-114,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_threes,OVER,,Natasha Cloud,3PM,fanduel,FanDuel,1.5,178,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_threes,UNDER,,Natasha Cloud,3PM,draftkings,DraftKings,1.5,-219,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_assists,OVER,,Natasha Cloud,AST,fanduel,FanDuel,4.5,-120,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_assists,UNDER,,Natasha Cloud,AST,draftkings,DraftKings,4.5,-109,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points_rebounds_assists,OVER,,Natasha Cloud,PRA,draftkings,DraftKings,17.5,-114,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points_rebounds_assists,UNDER,,Natasha Cloud,PRA,fanduel,FanDuel,17.5,-112,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points,OVER,,Natasha Cloud,PTS,draftkings,DraftKings,9.5,-111,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_points,UNDER,,Natasha Cloud,PTS,fanduel,FanDuel,9.5,-110,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,PROP,player_rebounds,OVER,,Natasha Cloud,REB,fanduel,FanDuel,2.5,-174,True,the-odds-api,2026-07-31T16:54:12.277652+00:00,2,"draftkings,fanduel"
