ranking_key,date,player,game,player_team,player_team_source,opponent,stat,side,raw_projection,best_line,model_probability,matchup_status,defense_allowed_avg,league_allowed_avg,defense_index,last5_allowed_avg,last10_allowed_avg,home_allowed_avg,away_allowed_avg,matchup_multiplier,matchup_adjusted_projection,matchup_delta
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|pra|under,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PRA,UNDER,,24.5,,READY,20.4,21.8028,0.9357,20.4,20.4,14.0,24.6667,0.96785,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|pra|under,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PRA,UNDER,,25.5,,READY,20.4,21.8028,0.9357,20.4,20.4,14.0,24.6667,0.96785,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PTS,OVER,,14.5,,READY,15.0,13.8718,1.0813,15.0,15.0,11.0,19.0,1.04065,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PTS,OVER,,15.5,,READY,15.0,13.8718,1.0813,15.0,15.0,11.0,19.0,1.04065,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PTS,OVER,,16.5,,READY,15.0,13.8718,1.0813,15.0,15.0,11.0,19.0,1.04065,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|pts|under,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PTS,UNDER,,15.5,,READY,15.0,13.8718,1.0813,15.0,15.0,11.0,19.0,1.04065,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|ra|over,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,RA,OVER,,9.5,,READY,12.5,9.4211,1.3268,12.5,12.5,,12.5,1.15,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|ra|under,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,RA,UNDER,,9.5,,READY,12.5,9.4211,1.3268,12.5,12.5,,12.5,1.15,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|reb|over,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,REB,OVER,,4.5,,READY,2.6667,4.8158,0.5537,2.6667,2.6667,2.5,3.0,0.85,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|reb|under,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,REB,UNDER,,4.5,,READY,2.6667,4.8158,0.5537,2.6667,2.6667,2.5,3.0,0.85,,
2026-08-29|laura juskaite|toronto tempo @ phoenix mercury|3pm|over,2026-08-29,Laura Juskaite,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,3PM,OVER,,1.5,,READY,0.75,1.75,0.4286,0.75,0.75,1.0,0.5,0.85,,
