archive_index,canonical_game_date,canonical_game_id,date,game,method,player,source,status
715,,,2026-07-27,Portland Fire @ Las Vegas Aces,,NaLyssa Smith,,UNRESOLVED_LOCAL
716,2026-07-28,401857095,2026-07-28,Portland Fire @ Las Vegas Aces,local_raw_unique_player_game_same_date,A'ja Wilson,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
718,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
719,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
722,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
723,2026-07-28,401857095,2026-07-28,Portland Fire @ Las Vegas Aces,local_raw_unique_player_game_same_date,A'ja Wilson,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
724,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
725,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Aliyah Boston,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
726,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Kelsey Mitchell,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
727,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Awa Fam,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
728,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Aliyah Boston,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
729,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
730,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Breanna Stewart,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
731,2026-07-28,401857095,2026-07-28,Portland Fire @ Las Vegas Aces,local_raw_unique_player_game_same_date,A'ja Wilson,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
734,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
735,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
736,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Breanna Stewart,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
737,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
738,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Isabelle Harrison,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
739,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Kayla McBride,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
740,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Sabrina Ionescu,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
744,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Sabrina Ionescu,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
747,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Nneka Ogwumike,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
748,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Sabrina Ionescu,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
751,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Aliyah Boston,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
753,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
