archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,target_win,market_probability,logistic_v5_probability,ridge_linear_probability,empirical_probability,knn_probability,ensemble_probability,train_rows,snapshot_count,book_count,books,opening_line,opening_odds,latest_line,latest_odds,reference_close_line,reference_close_odds,close_quality,line_move,price_move,elapsed_minutes,movement_class,steam_detected,reverse_move_vs_knn,first_moving_book,knn_implied_side
916,2026-08-02,401857109,Charlisse Leger-Walker,PA,UNDER,12.5,-128.0,1,0.561404,0.722934,0.701383,0.853801,0.81771,0.735706,105,1,0,,11.5,-112.0,11.5,-112.0,11.5,-112.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
931,2026-08-02,401857109,Charlisse Leger-Walker,PRA,UNDER,14.5,-129.0,1,0.563319,0.593019,0.593829,0.687773,0.354465,0.547582,106,1,0,,14.5,-124.0,14.5,-124.0,14.5,-124.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
895,2026-08-02,401857110,Janelle Salaun,3PM,UNDER,2.5,-200.0,0,0.666667,0.784219,0.751429,0.888889,0.699053,0.755376,107,1,0,,2.5,-195.75,2.5,-195.75,2.5,-195.75,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
937,2026-08-02,401857110,Janelle Salaun,3PM,UNDER,2.5,-195.75,0,0.661877,0.743964,0.717186,0.887292,0.559502,0.706024,108,1,0,,2.5,-195.75,2.5,-195.75,2.5,-195.75,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
1006,2026-08-02,401857110,Laura Juskaite,REB,OVER,3.5,-167.0,1,0.625468,0.497283,0.527323,0.652934,0.642719,0.590093,109,0,0,,,,,,,,UNAVAILABLE,,,,NO_SNAPSHOT_MATCH,False,False,,
914,2026-08-03,401857111,Rhyne Howard,PTS,UNDER,16.5,-115.5,0,0.535963,0.688171,0.673137,0.845321,0.893286,0.734313,110,1,0,,16.5,-111.0,16.5,-111.0,16.5,-111.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
917,2026-08-03,401857111,Rhyne Howard,PR,UNDER,20.5,-119.5,1,0.544419,0.701467,0.6806,0.84814,0.894068,0.738832,111,1,0,,20.5,-120.5,20.5,-120.5,20.5,-120.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
918,2026-08-03,401857111,Rhyne Howard,PA,UNDER,20.5,-124.0,0,0.553571,0.719115,0.694846,0.85119,0.801808,0.72628,112,1,0,,20.5,-117.5,20.5,-117.5,20.5,-117.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
919,2026-08-03,401857111,Rhyne Howard,PRA,UNDER,24.5,-126.0,1,0.557522,0.697717,0.680787,0.852507,0.789416,0.716499,113,1,0,,24.5,-124.67,24.5,-124.67,24.5,-124.67,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
953,2026-08-03,401857111,Rhyne Howard,PTS,UNDER,16.5,-111.0,0,0.526066,0.624315,0.634986,0.842022,0.71653,0.668497,114,1,0,,16.5,-111.0,16.5,-111.0,16.5,-111.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
954,2026-08-03,401857111,Rhyne Howard,PR,UNDER,20.5,-120.5,1,0.546485,0.66947,0.660359,0.848828,0.811719,0.70874,115,1,0,,20.5,-120.5,20.5,-120.5,20.5,-120.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
957,2026-08-03,401857111,Rhyne Howard,PA,UNDER,20.5,-117.5,0,0.54023,0.650533,0.652708,0.846743,0.64908,0.664736,116,1,0,,20.5,-117.5,20.5,-117.5,20.5,-117.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
960,2026-08-03,401857111,Rhyne Howard,PRA,UNDER,24.5,-124.67,1,0.554903,0.669337,0.66265,0.851634,0.751064,0.69706,117,1,0,,24.5,-124.67,24.5,-124.67,24.5,-124.67,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
938,2026-08-03,401857112,Jonquel Jones,AST,OVER,2.5,-152.0,0,0.603175,0.396614,0.452202,0.534392,0.635741,0.527524,118,0,0,,,,,,,,UNAVAILABLE,,,,NO_SNAPSHOT_MATCH,False,False,,
966,2026-08-03,401857112,Natisha Hiedeman,AST,UNDER,5.5,-127.75,0,0.560922,0.532688,0.538444,0.631418,0.513673,0.552617,119,1,0,,5.5,-128.0,5.5,-128.0,5.5,-128.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
975,2026-08-03,401857112,Jonquel Jones,AST,OVER,2.5,-154.25,0,0.606686,0.366932,0.427345,0.535562,0.398896,0.462729,120,0,0,,,,,,,,UNAVAILABLE,,,,NO_SNAPSHOT_MATCH,False,False,,
987,2026-08-03,401857112,Awa Fam,REB,OVER,5.5,-127.0,1,0.559471,0.270475,0.342203,0.408713,0.554583,0.429997,121,1,0,,5.5,-113.2,5.5,-113.2,5.5,-113.2,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
978,2026-08-03,401857113,Natasha Cloud,PR,UNDER,13.5,-122.0,0,0.54955,0.54089,0.558237,0.683183,0.407934,0.540802,122,1,0,,13.5,-121.0,13.5,-121.0,13.5,-121.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
