generated_at_utc,promotion_state,forward_predictions_total,graded_predictions,pending_predictions,explicit_close_predictions,explicit_clv_coverage_pct,v5_brier,market_brier,v5_ece_5bin,v5_accuracy,roi,production_ready,canonical_forward_markets_total,canonical_graded_markets,canonical_pending_markets,snapshot_ledger_rows,snapshot_graded_rows
2026-08-14T03:14:21.806599+00:00,SHADOW,471,0,471,200,42.46,,,,,,False,,,,,
2026-08-14T03:52:12.062966+00:00,SHADOW,471,0,471,200,42.46,,,,,,False,,,,,
2026-08-14T06:05:29.552030+00:00,SHADOW,471,0,471,200,42.46,,,,,,False,,,,,
2026-08-14T08:01:46.753780+00:00,SHADOW,471,0,471,200,42.46,,,,,,False,,,,,
2026-08-14T09:41:52.500928+00:00,SHADOW,471,0,471,200,42.46,,,,,,False,,,,,
2026-08-14T11:25:54.956923+00:00,SHADOW,471,0,471,200,42.46,,,,,,False,,,,,
2026-08-14T11:28:28.415263+00:00,SHADOW,517,0,517,200,38.68,,,,,,False,,,,,
2026-08-14T12:28:44.352257+00:00,SHADOW,563,0,563,200,35.52,,,,,,False,,,,,
2026-08-14T12:30:18.804960+00:00,SHADOW,655,0,655,200,30.53,,,,,,False,,,,,
2026-08-14T14:01:08.900965+00:00,SHADOW,655,0,655,200,30.53,,,,,,False,,,,,
2026-08-14T14:03:38.018818+00:00,SHADOW,700,0,700,200,28.57,,,,,,False,,,,,
2026-08-14T15:28:07.967218+00:00,SHADOW,745,0,745,200,26.85,,,,,,False,,,,,
2026-08-14T15:31:28.111891+00:00,SHADOW,790,0,790,200,25.32,,,,,,False,,,,,
2026-08-14T16:30:16.943683+00:00,SHADOW,835,0,835,200,23.95,,,,,,False,,,,,
2026-08-14T16:32:22.175030+00:00,SHADOW,880,0,880,200,22.73,,,,,,False,,,,,
2026-08-14T17:36:26.973628+00:00,SHADOW,925,0,925,200,21.62,,,,,,False,,,,,
2026-08-14T17:38:51.726878+00:00,SHADOW,969,0,969,200,20.64,,,,,,False,,,,,
2026-08-14T18:31:13.948867+00:00,SHADOW,1013,0,1013,200,19.74,,,,,,False,,,,,
2026-08-14T18:32:58.915696+00:00,SHADOW,1057,0,1057,200,18.92,,,,,,False,,,,,
2026-08-14T19:35:55.843439+00:00,SHADOW,1101,0,1101,200,18.17,,,,,,False,,,,,
2026-08-14T19:37:58.346861+00:00,SHADOW,1145,0,1145,200,17.47,,,,,,False,,,,,
2026-08-14T20:09:22.516091+00:00,SHADOW,1189,0,1189,200,16.82,,,,,,False,,,,,
2026-08-14T20:13:17.638897+00:00,SHADOW,1233,0,1233,200,16.22,,,,,,False,,,,,
2026-08-14T21:01:46.269427+00:00,SHADOW,1277,0,1277,200,15.66,,,,,,False,,,,,
2026-08-14T21:03:49.643255+00:00,SHADOW,1321,0,1321,200,15.14,,,,,,False,,,,,
2026-08-14T21:56:41.390537+00:00,SHADOW,1363,0,1363,200,14.67,,,,,,False,,,,,
2026-08-14T22:00:08.661785+00:00,SHADOW,1405,0,1405,200,14.23,,,,,,False,,,,,
2026-08-14T22:57:29.344966+00:00,SHADOW,1447,0,1447,200,13.82,,,,,,False,,,,,
2026-08-14T23:00:17.901371+00:00,SHADOW,1489,0,1489,200,13.43,,,,,,False,,,,,
2026-08-14T23:57:22.869293+00:00,SHADOW,1531,0,1531,200,13.06,,,,,,False,,,,,
2026-08-15T02:04:10.903824+00:00,SHADOW,1573,0,1573,200,12.71,,,,,,False,,,,,
2026-08-15T02:06:06.193404+00:00,SHADOW,1615,0,1615,200,12.38,,,,,,False,,,,,
2026-08-15T03:22:56.719637+00:00,SHADOW,1657,0,1657,200,12.07,,,,,,False,,,,,
2026-08-15T03:24:11.316192+00:00,SHADOW,1699,0,1699,200,11.77,,,,,,False,,,,,
2026-08-15T04:09:13.682001+00:00,SHADOW,1741,0,1741,200,11.49,,,,,,False,,,,,
2026-08-15T05:02:21.220306+00:00,SHADOW,1741,0,1741,200,11.49,,,,,,False,,,,,
2026-08-15T05:58:13.277647+00:00,SHADOW,1741,0,1741,200,11.49,,,,,,False,,,,,
2026-08-15T07:11:38.764735+00:00,SHADOW,1741,0,1741,200,11.49,,,,,,False,,,,,
2026-08-15T07:58:52.263417+00:00,SHADOW,1741,0,1741,200,11.49,,,,,,False,,,,,
2026-08-15T09:02:20.776154+00:00,SHADOW,1741,0,1741,200,11.49,,,,,,False,,,,,
2026-08-15T09:56:54.833592+00:00,SHADOW,1741,0,1741,200,11.49,,,,,,False,,,,,
2026-08-15T10:56:17.819957+00:00,SHADOW,1741,0,1741,200,11.49,,,,,,False,,,,,
2026-08-15T10:59:34.575407+00:00,SHADOW,1816,0,1816,200,11.01,,,,,,False,,,,,
2026-08-15T11:54:01.998136+00:00,SHADOW,1891,0,1891,200,10.58,,,,,,False,,,,,
2026-08-15T11:57:26.796219+00:00,SHADOW,1966,0,1966,200,10.17,,,,,,False,,,,,
2026-08-15T13:13:35.622006+00:00,SHADOW,2047,0,2047,200,9.77,,,,,,False,,,,,
2026-08-15T13:19:05.125947+00:00,SHADOW,2128,0,2128,200,9.4,,,,,,False,,,,,
2026-08-15T13:58:11.078339+00:00,SHADOW,2206,0,2206,200,9.07,,,,,,False,,,,,
2026-08-15T14:00:25.914333+00:00,SHADOW,2205,0,2205,200,9.07,,,,,,False,,,,,
2026-08-15T14:56:59.093535+00:00,SHADOW,2282,0,2282,200,8.76,,,,,,False,,,,,
2026-08-15T15:00:20.994760+00:00,SHADOW,2362,0,2362,200,8.47,,,,,,False,,,,,
2026-08-15T15:54:40.897122+00:00,SHADOW,2362,0,2362,200,8.47,,,,,,False,,,,,
2026-08-15T15:56:45.747168+00:00,SHADOW,2429,0,2429,200,8.23,,,,,,False,,,,,
2026-08-15T16:57:53.687060+00:00,SHADOW,2496,0,2496,394,15.79,,,,,,False,,,,,
2026-08-15T17:00:04.168416+00:00,SHADOW,2571,0,2571,418,16.26,,,,,,False,,,,,
2026-08-15T17:54:52.254759+00:00,SHADOW,2646,0,2646,442,16.7,,,,,,False,,,,,
2026-08-15T17:58:29.873091+00:00,SHADOW,2721,0,2721,466,17.13,,,,,,False,,,,,
2026-08-15T19:02:50.047982+00:00,SHADOW,2796,0,2796,490,17.53,,,,,,False,,,,,
2026-08-15T19:03:58.329102+00:00,SHADOW,2871,0,2871,514,17.9,,,,,,False,,,,,
2026-08-15T19:53:23.662922+00:00,SHADOW,2946,0,2946,538,18.26,,,,,,False,,,,,
2026-08-15T19:56:58.199175+00:00,SHADOW,3021,0,3021,562,18.6,,,,,,False,,,,,
2026-08-15T20:56:36.140111+00:00,SHADOW,3096,0,3096,586,18.93,,,,,,False,,,,,
2026-08-15T21:00:23.645721+00:00,SHADOW,3149,0,3149,586,18.61,,,,,,False,,,,,
2026-08-15T21:54:05.434450+00:00,SHADOW,3202,0,3202,586,18.3,,,,,,False,,,,,
2026-08-15T21:58:14.697933+00:00,SHADOW,3255,0,3255,586,18.0,,,,,,False,,,,,
2026-08-15T22:57:06.402430+00:00,SHADOW,3308,0,3308,586,17.71,,,,,,False,,,,,
2026-08-15T22:58:54.787115+00:00,SHADOW,3361,0,3361,586,17.44,,,,,,False,,,,,
2026-08-15T23:54:12.475727+00:00,SHADOW,3414,0,3414,972,28.47,,,,,,False,,,,,
2026-08-15T23:57:46.381375+00:00,SHADOW,3467,0,3467,987,28.47,,,,,,False,,,,,
2026-08-16T02:11:43.812403+00:00,SHADOW,3520,0,3520,1939,55.09,,,,,,False,,,,,
2026-08-16T02:13:35.416549+00:00,SHADOW,3573,0,3573,1992,55.75,,,,,,False,,,,,
2026-08-16T03:32:04.380542+00:00,SHADOW,3626,0,3626,2045,56.4,,,,,,False,,,,,
2026-08-16T03:34:29.962555+00:00,SHADOW,3626,0,3626,2045,56.4,,,,,,False,,,,,
2026-08-16T04:20:35.529482+00:00,SHADOW,3626,0,3626,2045,56.4,,,,,,False,,,,,
2026-08-16T05:06:23.589594+00:00,SHADOW,3626,0,3626,2045,56.4,,,,,,False,,,,,
2026-08-16T05:59:48.972544+00:00,SHADOW,3626,0,3626,2045,56.4,,,,,,False,,,,,
2026-08-16T07:18:03.939428+00:00,SHADOW,3626,0,3626,2045,56.4,,,,,,False,,,,,
